자치구,시점,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상,전체인구수,청년층,청년층비율,중년층,중년층비율,노년층,노년층비율
금천구,2021,116,2512,8913,6729,3975,2859,2805,3281,3545,3713,2824,2106,1598,1160,691,46827,22245,0.4750464475623038,12490,0.26672646122963245,12092,0.2582270912080637
영등포구,2017,195,2776,8938,8088,5050,3835,3866,3345,3559,3022,2557,2035,1901,1271,713,51151,25047,0.48966784618091536,14605,0.28552716466931244,11499,0.22480498914977223
영등포구,2018,186,2919,10054,8547,5512,3656,3894,3264,3538,3229,2517,2148,1933,1286,794,53477,27218,0.5089664715672159,14352,0.26837705929652,11907,0.2226564691362642
영등포구,2019,251,3277,11754,9638,5907,3781,3938,3298,3604,3507,2634,2352,2014,1378,881,58214,30827,0.5295461572817536,14621,0.2511595148933246,12766,0.21929432782492184
영등포구,2020,189,3622,13418,11074,6350,4144,4066,3583,3674,3844,2955,2513,2048,1497,1023,64000,34653,0.541453125,15467,0.241671875,13880,0.216875
영등포구,2021,165,3933,14988,12489,7036,4535,4025,3922,3751,4117,3381,2672,2103,1566,1123,69806,38611,0.553118643096582,16233,0.2325444804171561,14962,0.21433687648626193
동작구,2017,1151,6972,10905,7832,4834,3490,3194,2517,2851,2612,2322,2044,1840,1133,658,54355,31694,0.5830926317726061,12052,0.22172753196578052,10609,0.19517983626161348
동작구,2018,1108,7600,11880,7798,5075,3357,3294,2533,2889,2885,2365,2218,1914,1252,704,56872,33461,0.588356308904206,12073,0.21228372485581656,11338,0.19935996623997748
동작구,2019,891,7837,13256,8329,5228,3396,3325,2775,2804,3060,2575,2396,1983,1383,850,60088,35541,0.5914824923445613,12300,0.2046997736652909,12247,0.20381773399014777
동작구,2020,1261,8592,14153,9131,5246,3606,3322,2849,2774,3244,2813,2585,2055,1488,982,64101,38383,0.5987894104616153,12551,0.1958003775292117,13167,0.20541021200917303
동작구,2021,943,8871,15186,10241,5462,3893,3363,3090,2873,3501,3160,2714,2194,1643,1097,68231,40703,0.5965470240799636,13219,0.19373891632835516,14309,0.2097140595916812
관악구,2017,1102,12502,27300,18199,10463,6833,5925,4620,4783,4223,3408,2887,2515,1340,765,106865,69566,0.6509708510737847,22161,0.20737378936040798,15138,0.14165535956580733
관악구,2018,1048,13855,30179,18649,10804,6507,6054,4775,4824,4535,3433,3144,2634,1476,816,112733,74535,0.6611639892489333,22160,0.19657065810366087,16038,0.1422653526474058
관악구,2019,1023,14851,33127,19915,10984,6510,6184,4995,4930,4844,3683,3388,2763,1719,947,119863,79900,0.6665943618964985,22619,0.18870710728081225,17344,0.14469853082268924
관악구,2020,1121,15893,36331,21802,11342,7063,6273,5345,5066,5321,4163,3553,2914,1946,1100,129233,86489,0.6692485665426013,23747,0.18375337568577685,18997,0.1469980577716218
관악구,2021,734,15635,38989,23541,11571,7690,6311,5742,5231,5772,4780,3783,3095,2143,1238,136255,90470,0.6639756339216909,24974,0.1832886866537008,20811,0.15273567942460828
서초구,2017,537,2426,5925,6375,5005,3696,3387,2279,2331,2166,1705,1459,1087,760,564,39702,20268,0.5105032492065891,11693,0.29451916780011084,7741,0.1949775829933001
서초구,2018,504,2517,6108,6477,5323,3632,3560,2441,2335,2352,1785,1520,1201,784,598,41137,20929,0.5087634003451881,11968,0.2909303060505141,8240,0.20030629360429783
서초구,2019,521,2550,6448,6800,5479,3621,3590,2593,2336,2452,1858,1640,1275,829,675,42667,21798,0.5108866336981742,12140,0.28452902711697564,8729,0.2045843391848501
서초구,2020,600,2884,6560,7187,5366,3703,3377,2697,2237,2440,2125,1800,1342,903,721,43942,22597,0.5142460516134905,12014,0.27340585317008786,9331,0.21234809521642165
서초구,2021,297,2678,6870,7735,5463,4111,3412,2951,2329,2556,2428,1850,1464,1001,788,45933,23043,0.5016654692704592,12803,0.2787320662704374,10087,0.21960246445910347
강남구,2017,539,3277,9692,11378,8980,5878,4856,3331,3248,3093,2646,2174,1680,1107,895,62774,33866,0.5394908720170771,17313,0.27579889763277793,11595,0.18471023035014497
강남구,2018,421,3182,9982,10967,9206,5786,4805,3342,3071,3146,2614,2299,1733,1188,985,62727,33758,0.5381733543769031,17004,0.2710794394758238,11965,0.1907472061472731
강남구,2019,607,3362,10619,11474,9386,5964,5095,3551,3139,3386,2805,2470,1863,1255,1097,66073,35448,0.536497510329484,17749,0.2686271245440649,12876,0.19487536512645104
강남구,2020,498,3590,11221,12034,9433,6373,5181,3700,3152,3482,3061,2697,2061,1343,1173,68999,36776,0.5329932317859679,18406,0.26675748923897447,13817,0.20024927897505762
강남구,2021,397,3559,11227,12407,9231,6990,5206,4370,3275,3731,3585,2872,2326,1509,1301,71986,36821,0.511502236545995,19841,0.2756230378129081,15324,0.21287472564109688
송파구,2017,282,2361,8026,9402,7439,5392,4985,3675,4193,3767,2936,2360,1865,1272,893,58848,27510,0.4674755301794454,18245,0.31003602501359434,13093,0.2224884448069603
송파구,2018,286,2684,9374,10066,7975,5462,5118,3887,4243,4320,3176,2557,1996,1328,979,63451,30385,0.47887346141116766,18710,0.2948732092480812,14356,0.22625332934075112
송파구,2019,282,2906,10754,11025,8596,5673,5306,4144,4384,4663,3448,2962,2182,1434,1102,68861,33563,0.48740215797040415,19507,0.2832808120706931,15791,0.2293170299589027
송파구,2020,284,3099,11972,11929,8942,6143,5334,4388,4341,4938,3994,3273,2295,1553,1209,73694,36226,0.49157326240942273,20206,0.2741878578988792,17262,0.2342388796916981
송파구,2021,243,3250,13028,13086,9127,6677,5424,4876,4377,5367,4633,3519,2591,1752,1312,79262,38734,0.48868310161237416,21354,0.2694103101107719,19174,0.241906588276854
강동구,2017,162,1514,4460,4878,4180,3394,3556,3248,3920,3531,2693,2051,1688,1074,701,41050,15194,0.37013398294762484,14118,0.34392204628501827,11738,0.2859439707673569
강동구,2018,144,1580,4861,4839,4242,3261,3576,3171,3934,3852,2773,2253,1765,1126,749,42126,15666,0.37188434695912265,13942,0.3309595024450458,12518,0.29715615059583156
강동구,2019,157,1859,5687,5270,4403,3306,3631,3332,3886,4134,3042,2500,1876,1276,829,45188,17376,0.38452686553952375,14155,0.3132468797025759,13657,0.3022262547579003
강동구,2020,152,1971,6990,6124,4657,3746,3783,3592,3885,4585,3663,2809,2019,1385,955,50316,19894,0.39538119087367835,15006,0.29823515382780824,15416,0.3063836552985134
강동구,2021,150,2392,8539,7152,5043,4158,3826,3889,4124,5100,4481,3162,2234,1582,10,55842,23276,0.4168188818452061,15997,0.286468966011246,16569,0.29671215214354785
